inspection_id,work_id,inspection_date,inspector_designation,inspection_stage,rating,findings_summary,defects_observed,rectification_deadline,inspection_photo_ref,synthetic_demo_data
INSP-DEMO-000001,MPLAD-WRK-000001,2023-10-23,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000001.jpg,True
INSP-DEMO-000002,MPLAD-WRK-000003,2024-12-14,Executive Engineer - PWD (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000002.jpg,True
INSP-DEMO-000003,MPLAD-WRK-000003,2025-02-15,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000003.jpg,True
INSP-DEMO-000004,MPLAD-WRK-000004,2025-05-16,Executive Engineer - PWD (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000004.jpg,True
INSP-DEMO-000005,MPLAD-WRK-000004,2025-07-28,Independent Quality Assessor (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000005.jpg,True
INSP-DEMO-000006,MPLAD-WRK-000004,2025-09-24,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000006.jpg,True
INSP-DEMO-000007,MPLAD-WRK-000005,2024-03-16,Independent Quality Assessor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000007.jpg,True
INSP-DEMO-000008,MPLAD-WRK-000008,2025-05-17,District Planning Officer (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000008.jpg,True
INSP-DEMO-000009,MPLAD-WRK-000008,2025-07-15,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000009.jpg,True
INSP-DEMO-000010,MPLAD-WRK-000009,2024-08-29,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000010.jpg,True
INSP-DEMO-000011,MPLAD-WRK-000010,2022-09-08,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000011.jpg,True
INSP-DEMO-000012,MPLAD-WRK-000011,2024-12-21,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000012.jpg,True
INSP-DEMO-000013,MPLAD-WRK-000012,2023-12-15,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000013.jpg,True
INSP-DEMO-000014,MPLAD-WRK-000013,2024-10-04,District Planning Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000014.jpg,True
INSP-DEMO-000015,MPLAD-WRK-000014,2024-05-19,Technical Auditor - State Quality Monitor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000015.jpg,True
INSP-DEMO-000016,MPLAD-WRK-000015,2023-06-24,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000016.jpg,True
INSP-DEMO-000017,MPLAD-WRK-000017,2023-11-04,Executive Engineer - PWD (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000017.jpg,True
INSP-DEMO-000018,MPLAD-WRK-000018,2024-01-10,Independent Quality Assessor (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000018.jpg,True
INSP-DEMO-000019,MPLAD-WRK-000018,2024-02-16,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000019.jpg,True
INSP-DEMO-000020,MPLAD-WRK-000019,2025-01-18,Assistant Executive Engineer - Rural Works (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000020.jpg,True
INSP-DEMO-000021,MPLAD-WRK-000019,2025-03-12,Independent Quality Assessor (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000021.jpg,True
INSP-DEMO-000022,MPLAD-WRK-000020,2024-11-01,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000022.jpg,True
INSP-DEMO-000023,MPLAD-WRK-000020,2024-12-28,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000023.jpg,True
INSP-DEMO-000024,MPLAD-WRK-000021,2023-02-07,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000024.jpg,True
INSP-DEMO-000025,MPLAD-WRK-000022,2024-10-18,District Planning Officer (Demo),Final Quality Inspection,Requires Rectification,Site inspection conducted. Quality benchmark verified as Requires Rectification.,True,2024-11-17,inspections/insp_demo_000025.jpg,True
INSP-DEMO-000026,MPLAD-WRK-000023,2023-12-19,District Planning Officer (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000026.jpg,True
INSP-DEMO-000027,MPLAD-WRK-000023,2024-02-16,Junior Engineer - Zilla Parishad (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000027.jpg,True
INSP-DEMO-000028,MPLAD-WRK-000023,2024-04-19,Executive Engineer - PWD (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000028.jpg,True
INSP-DEMO-000029,MPLAD-WRK-000024,2023-02-28,Executive Engineer - PWD (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000029.jpg,True
INSP-DEMO-000030,MPLAD-WRK-000024,2023-05-15,Executive Engineer - PWD (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000030.jpg,True
INSP-DEMO-000031,MPLAD-WRK-000025,2024-08-23,Executive Engineer - PWD (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000031.jpg,True
INSP-DEMO-000032,MPLAD-WRK-000025,2024-10-13,Assistant Executive Engineer - Rural Works (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000032.jpg,True
INSP-DEMO-000033,MPLAD-WRK-000026,2022-11-09,Executive Engineer - PWD (Demo),Interim Progress Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000033.jpg,True
INSP-DEMO-000034,MPLAD-WRK-000026,2023-01-09,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000034.jpg,True
INSP-DEMO-000035,MPLAD-WRK-000027,2024-12-04,District Planning Officer (Demo),Final Quality Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000035.jpg,True
INSP-DEMO-000036,MPLAD-WRK-000028,2023-05-04,Independent Quality Assessor (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000036.jpg,True
INSP-DEMO-000037,MPLAD-WRK-000029,2022-11-27,Technical Auditor - State Quality Monitor (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000037.jpg,True
INSP-DEMO-000038,MPLAD-WRK-000029,2023-02-01,District Planning Officer (Demo),Interim Progress Inspection,Good,Site inspection conducted. Quality benchmark verified as Good.,False,,inspections/insp_demo_000038.jpg,True
INSP-DEMO-000039,MPLAD-WRK-000029,2023-03-31,Sub-Divisional Officer (Demo),Final Quality Inspection,Excellent,Site inspection conducted. Quality benchmark verified as Excellent.,False,,inspections/insp_demo_000039.jpg,True
INSP-DEMO-000040,MPLAD-WRK-000030,2023-07-07,Junior Engineer - Zilla Parishad (Demo),Final Quality Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000040.jpg,True
INSP-DEMO-000041,MPLAD-WRK-000031,2023-06-23,Sub-Divisional Officer (Demo),Interim Progress Inspection,Satisfactory,Site inspection conducted. Quality benchmark verified as Satisfactory.,False,,inspections/insp_demo_000041.jpg,True
