sanction_id,work_id,sanction_order_number,sanction_date,sanctioned_amount,installment_schedule,approving_authority,synthetic_demo_data
SANC-DEMO-000001,MPLAD-WRK-000001,MPLAD/AGR/2023/00001,2023-11-05,554962.47,50-50,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000002,MPLAD-WRK-000002,MPLAD/KOL/2025/00002,2025-01-25,1447521.01,40-40-20,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000003,MPLAD-WRK-000003,MPLAD/HYD/2022/00003,2022-10-08,2497242.99,40-40-20,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000004,MPLAD-WRK-000004,MPLAD/TIR/2023/00004,2023-09-22,2462525.26,40-40-20,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000005,MPLAD-WRK-000005,MPLAD/TIR/2022/00005,2022-12-19,1221094.66,40-40-20,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000006,MPLAD-WRK-000006,MPLAD/AHM/2023/00006,2023-04-06,704509.11,50-50,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000007,MPLAD-WRK-000007,MPLAD/KOZ/2024/00007,2024-02-06,2978289.73,40-40-20,District Collector & Magistrate (Kozhikode Demo),True
SANC-DEMO-000008,MPLAD-WRK-000008,MPLAD/BEL/2022/00008,2022-10-09,471098.6,50-50,District Collector & Magistrate (Belagavi Demo),True
SANC-DEMO-000009,MPLAD-WRK-000009,MPLAD/PUR/2024/00009,2024-10-17,1467956.65,40-40-20,District Collector & Magistrate (Purba Medinipur Demo),True
SANC-DEMO-000010,MPLAD-WRK-000010,MPLAD/SAL/2025/00010,2025-02-19,1999149.55,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000011,MPLAD-WRK-000011,MPLAD/DHA/2022/00011,2022-11-06,3775791.93,40-40-20,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000012,MPLAD-WRK-000012,MPLAD/HYD/2024/00012,2024-02-25,1400041.46,40-40-20,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000013,MPLAD-WRK-000013,MPLAD/SUR/2023/00013,2023-09-06,1760188.6,40-40-20,District Collector & Magistrate (Surat Demo),True
SANC-DEMO-000014,MPLAD-WRK-000014,MPLAD/KOT/2024/00014,2024-03-11,1154706.02,40-40-20,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000015,MPLAD-WRK-000015,MPLAD/NOR/2024/00015,2024-09-05,1502309.87,40-40-20,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000016,MPLAD-WRK-000016,MPLAD/LUC/2023/00016,2023-05-22,1875694.92,40-40-20,District Collector & Magistrate (Lucknow Demo),True
SANC-DEMO-000017,MPLAD-WRK-000017,MPLAD/KRI/2023/00017,2023-12-31,980187.42,50-50,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000018,MPLAD-WRK-000018,MPLAD/WAR/2024/00018,2024-07-29,1235902.08,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000019,MPLAD-WRK-000019,MPLAD/VIS/2022/00019,2022-10-13,683244.63,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000020,MPLAD-WRK-000021,MPLAD/CHE/2022/00020,2022-07-10,1081884.19,40-40-20,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000021,MPLAD-WRK-000022,MPLAD/TIR/2024/00021,2024-11-06,944059.06,50-50,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000022,MPLAD-WRK-000023,MPLAD/NAS/2023/00022,2023-12-18,1293767.97,40-40-20,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000023,MPLAD-WRK-000024,MPLAD/JOD/2024/00023,2024-12-28,1810783.49,40-40-20,District Collector & Magistrate (Jodhpur Demo),True
SANC-DEMO-000024,MPLAD-WRK-000025,MPLAD/MYS/2024/00024,2024-01-01,1079704.98,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000025,MPLAD-WRK-000027,MPLAD/NOR/2023/00025,2023-09-07,736188.22,50-50,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000026,MPLAD-WRK-000028,MPLAD/NAS/2025/00026,2025-01-29,225030.68,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000027,MPLAD-WRK-000029,MPLAD/PRA/2024/00027,2024-06-15,963435.6,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000028,MPLAD-WRK-000030,MPLAD/TIR/2022/00028,2022-06-24,443019.59,50-50,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000029,MPLAD-WRK-000031,MPLAD/MYS/2024/00029,2024-10-04,1315778.54,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000030,MPLAD-WRK-000032,MPLAD/AHM/2023/00030,2023-09-13,1334044.76,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000031,MPLAD-WRK-000033,MPLAD/DAK/2024/00031,2024-07-04,1325277.23,40-40-20,District Collector & Magistrate (Dakshina Kannada Demo),True
SANC-DEMO-000032,MPLAD-WRK-000034,MPLAD/LUD/2024/00032,2024-02-21,1811306.64,40-40-20,District Collector & Magistrate (Ludhiana Demo),True
SANC-DEMO-000033,MPLAD-WRK-000035,MPLAD/BHO/2023/00033,2023-04-17,4622880.51,40-40-20,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000034,MPLAD-WRK-000036,MPLAD/PAT/2023/00034,2023-12-03,1163435.03,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000035,MPLAD-WRK-000037,MPLAD/DHA/2023/00035,2023-08-10,3133642.07,40-40-20,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000036,MPLAD-WRK-000038,MPLAD/JAI/2023/00036,2023-09-26,427925.67,50-50,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000037,MPLAD-WRK-000039,MPLAD/SAL/2024/00037,2024-11-04,716335.68,50-50,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000038,MPLAD-WRK-000040,MPLAD/GAY/2024/00038,2024-07-25,1582081.06,40-40-20,District Collector & Magistrate (Gaya Demo),True
SANC-DEMO-000039,MPLAD-WRK-000041,MPLAD/VIS/2022/00039,2022-10-12,545996.18,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000040,MPLAD-WRK-000042,MPLAD/PUN/2024/00040,2024-07-24,808568.09,50-50,District Collector & Magistrate (Pune Demo),True
SANC-DEMO-000041,MPLAD-WRK-000043,MPLAD/PRA/2023/00041,2023-09-30,452198.7,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000042,MPLAD-WRK-000044,MPLAD/WAR/2022/00042,2022-12-22,1517987.27,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000043,MPLAD-WRK-000045,MPLAD/CUT/2024/00043,2024-06-09,2533880.06,40-40-20,District Collector & Magistrate (Cuttack Demo),True
SANC-DEMO-000044,MPLAD-WRK-000046,MPLAD/AGR/2022/00044,2022-09-01,3351179.41,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000045,MPLAD-WRK-000047,MPLAD/JOD/2024/00045,2024-09-20,623145.21,50-50,District Collector & Magistrate (Jodhpur Demo),True
SANC-DEMO-000046,MPLAD-WRK-000048,MPLAD/AMR/2023/00046,2023-02-23,1344989.78,40-40-20,District Collector & Magistrate (Amritsar Demo),True
SANC-DEMO-000047,MPLAD-WRK-000049,MPLAD/GWA/2022/00047,2022-08-20,1556706.52,40-40-20,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000048,MPLAD-WRK-000050,MPLAD/PAT/2023/00048,2023-04-03,1019435.89,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000049,MPLAD-WRK-000051,MPLAD/NAG/2023/00049,2023-04-15,1002629.39,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000050,MPLAD-WRK-000052,MPLAD/AHM/2022/00050,2022-05-25,1502516.14,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000051,MPLAD-WRK-000053,MPLAD/CHE/2023/00051,2023-02-23,576788.9,50-50,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000052,MPLAD-WRK-000054,MPLAD/BEN/2023/00052,2023-09-28,1855909.41,40-40-20,District Collector & Magistrate (Bengaluru Urban Demo),True
SANC-DEMO-000053,MPLAD-WRK-000055,MPLAD/NAS/2024/00053,2024-04-22,881820.48,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000054,MPLAD-WRK-000056,MPLAD/KRI/2023/00054,2023-09-08,1354303.81,40-40-20,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000055,MPLAD-WRK-000057,MPLAD/MYS/2023/00055,2023-06-10,2266908.06,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000056,MPLAD-WRK-000058,MPLAD/KOT/2024/00056,2024-02-13,1556978.9,40-40-20,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000057,MPLAD-WRK-000059,MPLAD/THA/2023/00057,2023-10-24,1342772.24,40-40-20,District Collector & Magistrate (Thane Demo),True
SANC-DEMO-000058,MPLAD-WRK-000060,MPLAD/GWA/2022/00058,2022-11-30,654768.68,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000059,MPLAD-WRK-000061,MPLAD/VAR/2024/00059,2024-12-09,1040865.62,40-40-20,District Collector & Magistrate (Varanasi Demo),True
SANC-DEMO-000060,MPLAD-WRK-000062,MPLAD/WAR/2022/00060,2022-09-05,1159708.55,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000061,MPLAD-WRK-000063,MPLAD/PAT/2024/00061,2024-05-18,1260943.12,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000062,MPLAD-WRK-000064,MPLAD/DHA/2024/00062,2024-12-23,566255.95,50-50,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000063,MPLAD-WRK-000065,MPLAD/KAN/2022/00063,2022-11-11,666894.37,50-50,District Collector & Magistrate (Kanpur Nagar Demo),True
SANC-DEMO-000064,MPLAD-WRK-000066,MPLAD/AJM/2025/00064,2025-01-26,838171.07,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000065,MPLAD-WRK-000067,MPLAD/KHO/2024/00065,2024-03-17,1368308.5,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000066,MPLAD-WRK-000068,MPLAD/JAI/2023/00066,2023-04-06,1216338.67,40-40-20,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000067,MPLAD-WRK-000069,MPLAD/KHO/2023/00067,2023-01-16,2520299.18,40-40-20,District Collector & Magistrate (Khordha Demo),True
SANC-DEMO-000068,MPLAD-WRK-000070,MPLAD/HYD/2022/00068,2022-12-18,1610415.84,40-40-20,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000069,MPLAD-WRK-000071,MPLAD/VAR/2024/00069,2024-06-04,3597057.73,40-40-20,District Collector & Magistrate (Varanasi Demo),True
SANC-DEMO-000070,MPLAD-WRK-000072,MPLAD/NOR/2023/00070,2023-02-07,607656.77,50-50,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000071,MPLAD-WRK-000073,MPLAD/PUR/2024/00071,2024-06-24,1156071.82,40-40-20,District Collector & Magistrate (Purba Medinipur Demo),True
SANC-DEMO-000072,MPLAD-WRK-000074,MPLAD/KOT/2023/00072,2023-06-03,1972736.85,40-40-20,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000073,MPLAD-WRK-000075,MPLAD/AJM/2024/00073,2024-11-06,1544124.61,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000074,MPLAD-WRK-000076,MPLAD/PUN/2023/00074,2023-03-29,4546848.46,40-40-20,District Collector & Magistrate (Pune Demo),True
SANC-DEMO-000075,MPLAD-WRK-000077,MPLAD/DAK/2022/00075,2022-09-26,1686584.87,40-40-20,District Collector & Magistrate (Dakshina Kannada Demo),True
SANC-DEMO-000076,MPLAD-WRK-000078,MPLAD/AGR/2024/00076,2024-04-21,1775684.72,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000077,MPLAD-WRK-000079,MPLAD/AJM/2024/00077,2024-11-14,2977866.2,40-40-20,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000078,MPLAD-WRK-000080,MPLAD/JOD/2023/00078,2023-08-11,306851.53,50-50,District Collector & Magistrate (Jodhpur Demo),True
SANC-DEMO-000079,MPLAD-WRK-000081,MPLAD/HYD/2023/00079,2023-02-24,625453.38,50-50,District Collector & Magistrate (Hyderabad Demo),True
SANC-DEMO-000080,MPLAD-WRK-000082,MPLAD/PRA/2023/00080,2023-02-11,1058406.94,40-40-20,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000081,MPLAD-WRK-000083,MPLAD/KOL/2023/00081,2023-02-14,1348243.17,40-40-20,District Collector & Magistrate (Kolkata Demo),True
SANC-DEMO-000082,MPLAD-WRK-000084,MPLAD/MYS/2022/00082,2022-09-23,898382.97,50-50,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000083,MPLAD-WRK-000085,MPLAD/SAL/2024/00083,2024-05-18,1354817.32,40-40-20,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000084,MPLAD-WRK-000086,MPLAD/DIB/2025/00084,2025-01-20,2046829.3,40-40-20,District Collector & Magistrate (Dibrugarh Demo),True
