agency_id,agency_name,agency_type,state,district,nodal_officer_designation,contact_email_synthetic,performance_rating,active_status,synthetic_demo_data
AGY-SYNTH-0001,Gaya Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Bihar,Gaya,Nodal Officer (Demo Code 001),officer.demo.0001@gaya.synthetic.gov.in,3.24,Active,True
AGY-SYNTH-0002,Dakshina Kannada Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 002),officer.demo.0002@dakshinakannada.synthetic.gov.in,4.45,Active,True
AGY-SYNTH-0003,Ernakulam Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Kerala,Ernakulam,Nodal Officer (Demo Code 003),officer.demo.0003@ernakulam.synthetic.gov.in,4.2,Suspended (Demo),True
AGY-SYNTH-0004,Chennai Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),Tamil Nadu,Chennai,Nodal Officer (Demo Code 004),officer.demo.0004@chennai.synthetic.gov.in,3.6,Active,True
AGY-SYNTH-0005,Kozhikode Water Supply & Sanitation Board (Demo) Unit-5,Water Supply & Sanitation Board (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 005),officer.demo.0005@kozhikode.synthetic.gov.in,4.42,Active,True
AGY-SYNTH-0006,Surat Water Supply & Sanitation Board (Demo) Unit-1,Water Supply & Sanitation Board (Demo),Gujarat,Surat,Nodal Officer (Demo Code 006),officer.demo.0006@surat.synthetic.gov.in,3.96,Active,True
AGY-SYNTH-0007,Pune Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Maharashtra,Pune,Nodal Officer (Demo Code 007),officer.demo.0007@pune.synthetic.gov.in,4.39,Active,True
AGY-SYNTH-0008,Salem Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Tamil Nadu,Salem,Nodal Officer (Demo Code 008),officer.demo.0008@salem.synthetic.gov.in,4.83,Active,True
AGY-SYNTH-0009,Chennai Irrigation & Flood Management Dept (Demo) Unit-4,Irrigation & Flood Management Dept (Demo),Tamil Nadu,Chennai,Nodal Officer (Demo Code 009),officer.demo.0009@chennai.synthetic.gov.in,3.36,Active,True
AGY-SYNTH-0010,Gwalior Zilla Parishad Engineering Division (Demo) Unit-5,Zilla Parishad Engineering Division (Demo),Madhya Pradesh,Gwalior,Nodal Officer (Demo Code 010),officer.demo.0010@gwalior.synthetic.gov.in,4.57,Active,True
AGY-SYNTH-0011,Ernakulam Rural Development Agency (Demo) Unit-1,Rural Development Agency (Demo),Kerala,Ernakulam,Nodal Officer (Demo Code 011),officer.demo.0011@ernakulam.synthetic.gov.in,4.85,Active,True
AGY-SYNTH-0012,Kozhikode Zilla Parishad Engineering Division (Demo) Unit-2,Zilla Parishad Engineering Division (Demo),Kerala,Kozhikode,Nodal Officer (Demo Code 012),officer.demo.0012@kozhikode.synthetic.gov.in,4.61,Active,True
AGY-SYNTH-0013,Kota Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Rajasthan,Kota,Nodal Officer (Demo Code 013),officer.demo.0013@kota.synthetic.gov.in,4.4,Suspended (Demo),True
AGY-SYNTH-0014,Dakshina Kannada Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Karnataka,Dakshina Kannada,Nodal Officer (Demo Code 014),officer.demo.0014@dakshinakannada.synthetic.gov.in,4.87,Active,True
AGY-SYNTH-0015,Coimbatore Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Tamil Nadu,Coimbatore,Nodal Officer (Demo Code 015),officer.demo.0015@coimbatore.synthetic.gov.in,3.67,Active,True
AGY-SYNTH-0016,Kota Municipal Engineering Cell (Demo) Unit-1,Municipal Engineering Cell (Demo),Rajasthan,Kota,Nodal Officer (Demo Code 016),officer.demo.0016@kota.synthetic.gov.in,3.83,Active,True
AGY-SYNTH-0017,Kanpur Nagar Rural Development Agency (Demo) Unit-2,Rural Development Agency (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 017),officer.demo.0017@kanpurnagar.synthetic.gov.in,4.24,Active,True
AGY-SYNTH-0018,Amritsar Water Supply & Sanitation Board (Demo) Unit-3,Water Supply & Sanitation Board (Demo),Punjab,Amritsar,Nodal Officer (Demo Code 018),officer.demo.0018@amritsar.synthetic.gov.in,3.48,Active,True
AGY-SYNTH-0019,Gaya Water Supply & Sanitation Board (Demo) Unit-4,Water Supply & Sanitation Board (Demo),Bihar,Gaya,Nodal Officer (Demo Code 019),officer.demo.0019@gaya.synthetic.gov.in,4.36,Active,True
AGY-SYNTH-0020,Cuttack Public Works Dept (Demo) Unit-5,Public Works Dept (Demo),Odisha,Cuttack,Nodal Officer (Demo Code 020),officer.demo.0020@cuttack.synthetic.gov.in,3.59,Suspended (Demo),True
AGY-SYNTH-0021,Jaipur Irrigation & Flood Management Dept (Demo) Unit-1,Irrigation & Flood Management Dept (Demo),Rajasthan,Jaipur,Nodal Officer (Demo Code 021),officer.demo.0021@jaipur.synthetic.gov.in,3.66,Active,True
AGY-SYNTH-0022,Bhopal State Renewable Energy Development Corp (Demo) Unit-2,State Renewable Energy Development Corp (Demo),Madhya Pradesh,Bhopal,Nodal Officer (Demo Code 022),officer.demo.0022@bhopal.synthetic.gov.in,3.56,Active,True
AGY-SYNTH-0023,Muzaffarpur State Sports Infrastructure Authority (Demo) Unit-3,State Sports Infrastructure Authority (Demo),Bihar,Muzaffarpur,Nodal Officer (Demo Code 023),officer.demo.0023@muzaffarpur.synthetic.gov.in,3.44,Active,True
AGY-SYNTH-0024,Ludhiana Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),Punjab,Ludhiana,Nodal Officer (Demo Code 024),officer.demo.0024@ludhiana.synthetic.gov.in,4.47,Active,True
AGY-SYNTH-0025,Indore Irrigation & Flood Management Dept (Demo) Unit-5,Irrigation & Flood Management Dept (Demo),Madhya Pradesh,Indore,Nodal Officer (Demo Code 025),officer.demo.0025@indore.synthetic.gov.in,3.82,Active,True
AGY-SYNTH-0026,Tiruchirappalli State Sports Infrastructure Authority (Demo) Unit-1,State Sports Infrastructure Authority (Demo),Tamil Nadu,Tiruchirappalli,Nodal Officer (Demo Code 026),officer.demo.0026@tiruchirappalli.synthetic.gov.in,3.35,Suspended (Demo),True
AGY-SYNTH-0027,Madurai Municipal Engineering Cell (Demo) Unit-2,Municipal Engineering Cell (Demo),Tamil Nadu,Madurai,Nodal Officer (Demo Code 027),officer.demo.0027@madurai.synthetic.gov.in,4.27,Active,True
AGY-SYNTH-0028,Vadodara Rural Development Agency (Demo) Unit-3,Rural Development Agency (Demo),Gujarat,Vadodara,Nodal Officer (Demo Code 028),officer.demo.0028@vadodara.synthetic.gov.in,3.85,Active,True
AGY-SYNTH-0029,Kolkata Zilla Parishad Engineering Division (Demo) Unit-4,Zilla Parishad Engineering Division (Demo),West Bengal,Kolkata,Nodal Officer (Demo Code 029),officer.demo.0029@kolkata.synthetic.gov.in,4.85,Active,True
AGY-SYNTH-0030,Pune Rural Development Agency (Demo) Unit-5,Rural Development Agency (Demo),Maharashtra,Pune,Nodal Officer (Demo Code 030),officer.demo.0030@pune.synthetic.gov.in,4.36,Active,True
AGY-SYNTH-0031,Kanpur Nagar State Renewable Energy Development Corp (Demo) Unit-1,State Renewable Energy Development Corp (Demo),Uttar Pradesh,Kanpur Nagar,Nodal Officer (Demo Code 031),officer.demo.0031@kanpurnagar.synthetic.gov.in,3.39,Active,True
AGY-SYNTH-0032,Kolkata Public Works Dept (Demo) Unit-2,Public Works Dept (Demo),West Bengal,Kolkata,Nodal Officer (Demo Code 032),officer.demo.0032@kolkata.synthetic.gov.in,4.82,Active,True
AGY-SYNTH-0033,Varanasi Municipal Engineering Cell (Demo) Unit-3,Municipal Engineering Cell (Demo),Uttar Pradesh,Varanasi,Nodal Officer (Demo Code 033),officer.demo.0033@varanasi.synthetic.gov.in,4.06,Active,True
