sanction_id,work_id,sanction_order_number,sanction_date,sanctioned_amount,installment_schedule,approving_authority,synthetic_demo_data
SANC-DEMO-000001,MPLAD-WRK-000001,MPLAD/BEN/2023/00001,2023-07-27,3627164.96,40-40-20,District Collector & Magistrate (Bengaluru Urban Demo),True
SANC-DEMO-000002,MPLAD-WRK-000002,MPLAD/AJM/2023/00002,2023-04-08,608277.18,50-50,District Collector & Magistrate (Ajmer Demo),True
SANC-DEMO-000003,MPLAD-WRK-000003,MPLAD/UDA/2024/00003,2024-09-22,291537.65,50-50,District Collector & Magistrate (Udaipur Demo),True
SANC-DEMO-000004,MPLAD-WRK-000004,MPLAD/JAI/2025/00004,2025-02-27,1965540.18,40-40-20,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000005,MPLAD-WRK-000005,MPLAD/JAI/2024/00005,2024-01-01,925461.41,50-50,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000006,MPLAD-WRK-000007,MPLAD/NOR/2023/00006,2023-09-07,736188.22,50-50,District Collector & Magistrate (North 24 Parganas Demo),True
SANC-DEMO-000007,MPLAD-WRK-000008,MPLAD/NAS/2025/00007,2025-01-29,225030.68,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000008,MPLAD-WRK-000009,MPLAD/PRA/2024/00008,2024-06-15,963435.6,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000009,MPLAD-WRK-000010,MPLAD/TIR/2022/00009,2022-06-24,443019.59,50-50,District Collector & Magistrate (Tiruchirappalli Demo),True
SANC-DEMO-000010,MPLAD-WRK-000011,MPLAD/MYS/2024/00010,2024-10-04,1315778.54,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000011,MPLAD-WRK-000012,MPLAD/AHM/2023/00011,2023-09-13,1334044.76,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000012,MPLAD-WRK-000013,MPLAD/DAK/2024/00012,2024-07-04,1325277.23,40-40-20,District Collector & Magistrate (Dakshina Kannada Demo),True
SANC-DEMO-000013,MPLAD-WRK-000014,MPLAD/LUD/2024/00013,2024-02-21,1811306.64,40-40-20,District Collector & Magistrate (Ludhiana Demo),True
SANC-DEMO-000014,MPLAD-WRK-000015,MPLAD/BHO/2023/00014,2023-04-17,4622880.51,40-40-20,District Collector & Magistrate (Bhopal Demo),True
SANC-DEMO-000015,MPLAD-WRK-000016,MPLAD/PAT/2023/00015,2023-12-03,1163435.03,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000016,MPLAD-WRK-000017,MPLAD/DHA/2023/00016,2023-08-10,3133642.07,40-40-20,District Collector & Magistrate (Dharwad Demo),True
SANC-DEMO-000017,MPLAD-WRK-000018,MPLAD/JAI/2023/00017,2023-09-26,427925.67,50-50,District Collector & Magistrate (Jaipur Demo),True
SANC-DEMO-000018,MPLAD-WRK-000019,MPLAD/SAL/2024/00018,2024-11-04,716335.68,50-50,District Collector & Magistrate (Salem Demo),True
SANC-DEMO-000019,MPLAD-WRK-000020,MPLAD/GAY/2024/00019,2024-07-25,1582081.06,40-40-20,District Collector & Magistrate (Gaya Demo),True
SANC-DEMO-000020,MPLAD-WRK-000021,MPLAD/VIS/2022/00020,2022-10-12,545996.18,50-50,District Collector & Magistrate (Visakhapatnam Demo),True
SANC-DEMO-000021,MPLAD-WRK-000022,MPLAD/PUN/2024/00021,2024-07-24,808568.09,50-50,District Collector & Magistrate (Pune Demo),True
SANC-DEMO-000022,MPLAD-WRK-000023,MPLAD/PRA/2023/00022,2023-09-30,452198.7,50-50,District Collector & Magistrate (Prayagraj Demo),True
SANC-DEMO-000023,MPLAD-WRK-000024,MPLAD/WAR/2022/00023,2022-12-22,1517987.27,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000024,MPLAD-WRK-000025,MPLAD/CUT/2024/00024,2024-06-09,2533880.06,40-40-20,District Collector & Magistrate (Cuttack Demo),True
SANC-DEMO-000025,MPLAD-WRK-000026,MPLAD/AGR/2022/00025,2022-09-01,3351179.41,40-40-20,District Collector & Magistrate (Agra Demo),True
SANC-DEMO-000026,MPLAD-WRK-000027,MPLAD/JOD/2024/00026,2024-09-20,623145.21,50-50,District Collector & Magistrate (Jodhpur Demo),True
SANC-DEMO-000027,MPLAD-WRK-000028,MPLAD/AMR/2023/00027,2023-02-23,1344989.78,40-40-20,District Collector & Magistrate (Amritsar Demo),True
SANC-DEMO-000028,MPLAD-WRK-000029,MPLAD/GWA/2022/00028,2022-08-20,1556706.52,40-40-20,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000029,MPLAD-WRK-000030,MPLAD/PAT/2023/00029,2023-04-03,1019435.89,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000030,MPLAD-WRK-000031,MPLAD/NAG/2023/00030,2023-04-15,1002629.39,40-40-20,District Collector & Magistrate (Nagpur Demo),True
SANC-DEMO-000031,MPLAD-WRK-000032,MPLAD/AHM/2022/00031,2022-05-25,1502516.14,40-40-20,District Collector & Magistrate (Ahmedabad Demo),True
SANC-DEMO-000032,MPLAD-WRK-000033,MPLAD/CHE/2023/00032,2023-02-23,576788.9,50-50,District Collector & Magistrate (Chennai Demo),True
SANC-DEMO-000033,MPLAD-WRK-000034,MPLAD/BEN/2023/00033,2023-09-28,1855909.41,40-40-20,District Collector & Magistrate (Bengaluru Urban Demo),True
SANC-DEMO-000034,MPLAD-WRK-000035,MPLAD/NAS/2024/00034,2024-04-22,881820.48,50-50,District Collector & Magistrate (Nashik Demo),True
SANC-DEMO-000035,MPLAD-WRK-000036,MPLAD/KRI/2023/00035,2023-09-08,1354303.81,40-40-20,District Collector & Magistrate (Krishna Demo),True
SANC-DEMO-000036,MPLAD-WRK-000037,MPLAD/MYS/2023/00036,2023-06-10,2266908.06,40-40-20,District Collector & Magistrate (Mysuru Demo),True
SANC-DEMO-000037,MPLAD-WRK-000038,MPLAD/KOT/2024/00037,2024-02-13,1556978.9,40-40-20,District Collector & Magistrate (Kota Demo),True
SANC-DEMO-000038,MPLAD-WRK-000039,MPLAD/THA/2023/00038,2023-10-24,1342772.24,40-40-20,District Collector & Magistrate (Thane Demo),True
SANC-DEMO-000039,MPLAD-WRK-000040,MPLAD/GWA/2022/00039,2022-11-30,654768.68,50-50,District Collector & Magistrate (Gwalior Demo),True
SANC-DEMO-000040,MPLAD-WRK-000041,MPLAD/VAR/2024/00040,2024-12-09,1040865.62,40-40-20,District Collector & Magistrate (Varanasi Demo),True
SANC-DEMO-000041,MPLAD-WRK-000042,MPLAD/WAR/2022/00041,2022-09-05,1159708.55,40-40-20,District Collector & Magistrate (Warangal Demo),True
SANC-DEMO-000042,MPLAD-WRK-000043,MPLAD/PAT/2024/00042,2024-05-18,1260943.12,40-40-20,District Collector & Magistrate (Patna Demo),True
SANC-DEMO-000043,MPLAD-WRK-000044,MPLAD/DHA/2024/00043,2024-12-23,566255.95,50-50,District Collector & Magistrate (Dharwad Demo),True
