estimate_id,work_id,prepared_date,technical_sanction_date,estimated_amount,contingency_pct,schedule_of_rates_year,technical_authority,synthetic_demo_data
EST-DEMO-000001,MPLAD-WRK-000001,2023-06-06,2023-07-27,3745036.56,3.2,2023,Superintending Engineer (Bengaluru Urban Demo),True
EST-DEMO-000002,MPLAD-WRK-000002,2023-02-21,2023-04-08,625870.37,3.4,2023,Superintending Engineer (Ajmer Demo),True
EST-DEMO-000003,MPLAD-WRK-000003,2024-08-30,2024-09-22,288850.74,3.5,2023,Superintending Engineer (Udaipur Demo),True
EST-DEMO-000004,MPLAD-WRK-000004,2024-12-29,2025-02-27,1994435.46,4.1,2023,Superintending Engineer (Jaipur Demo),True
EST-DEMO-000005,MPLAD-WRK-000005,2023-12-03,2024-01-01,956790.22,3.6,2023,Superintending Engineer (Jaipur Demo),True
EST-DEMO-000006,MPLAD-WRK-000006,2022-10-23,,2072459.48,4.6,2023,Superintending Engineer (Thiruvananthapuram Demo),True
EST-DEMO-000007,MPLAD-WRK-000007,2023-07-20,2023-09-07,769860.17,3.2,2023,Superintending Engineer (North 24 Parganas Demo),True
EST-DEMO-000008,MPLAD-WRK-000008,2025-01-06,2025-01-29,229201.12,3.0,2023,Superintending Engineer (Nashik Demo),True
EST-DEMO-000009,MPLAD-WRK-000009,2024-04-22,2024-06-15,948408.55,3.8,2023,Superintending Engineer (Prayagraj Demo),True
EST-DEMO-000010,MPLAD-WRK-000010,2022-05-15,2022-06-24,440165.52,4.7,2023,Superintending Engineer (Tiruchirappalli Demo),True
EST-DEMO-000011,MPLAD-WRK-000011,2024-08-16,2024-10-04,1315335.83,4.3,2023,Superintending Engineer (Mysuru Demo),True
EST-DEMO-000012,MPLAD-WRK-000012,2023-07-24,2023-09-13,1308472.19,4.8,2023,Superintending Engineer (Ahmedabad Demo),True
EST-DEMO-000013,MPLAD-WRK-000013,2024-06-04,2024-07-04,1342597.51,3.8,2023,Superintending Engineer (Dakshina Kannada Demo),True
EST-DEMO-000014,MPLAD-WRK-000014,2024-01-19,2024-02-21,1786194.79,4.3,2023,Superintending Engineer (Ludhiana Demo),True
EST-DEMO-000015,MPLAD-WRK-000015,2023-03-11,2023-04-17,4696418.48,4.5,2023,Superintending Engineer (Bhopal Demo),True
EST-DEMO-000016,MPLAD-WRK-000016,2023-10-15,2023-12-03,1223599.97,2.3,2023,Superintending Engineer (Patna Demo),True
