work_id,state,district,constituency,mp_reference,mp_house,work_title,category,agency_id,agency_name,status,estimate_amount,sanctioned_amount,cumulative_payments,expenditure,physical_progress_pct,recommendation_date,sanction_date,work_order_date,commencement_date,target_completion_date,actual_completion_date,latitude,longitude,is_anomaly,anomaly_type,anomaly_description,duplicate_of_work_id,synthetic_demo_data
MPLAD-WRK-000001,Uttar Pradesh,Agra,Agra Parliamentary Constituency,MP-LOK-DEMO-019,Lok Sabha (Demo),Construction of Rainwater Harvesting Sump and Recharging Wells at Fatehabad Sector-3,Irrigation & Flood Control,AGY-SYNTH-0256,Agra Water Supply & Sanitation Board (Demo) Unit-1,Completed,562181.06,554962.47,554962.47,551703.16,100.0,2023-10-11,2023-11-05,2023-12-01,2023-12-26,2024-11-03,2024-11-26,27.122814,78.078075,False,,,,True
MPLAD-WRK-000002,West Bengal,Kolkata,Kolkata North Parliamentary Constituency,MP-RAJ-DEMO-030,Rajya Sabha (Demo),Upgradation of Cultural Community Centre and Public Amphitheater at Jorasanko Sector-2,Community Infrastructure & Halls,AGY-SYNTH-0029,Kolkata Zilla Parishad Engineering Division (Demo) Unit-4,In Progress,1490283.93,1447521.01,658117.93,640624.83,44.9,2025-01-03,2025-01-25,2025-02-10,2025-02-27,2026-01-16,,22.630412,88.387138,False,,,,True
MPLAD-WRK-000003,Telangana,Hyderabad,Hyderabad Parliamentary Constituency,MP-LOK-DEMO-043,Lok Sabha (Demo),Reconstruction of Damaged All-Weather Village Connectivity Road at Amberpet Sector-10,"Roads, Pathways & Bridges",AGY-SYNTH-0116,Hyderabad State Renewable Energy Development Corp (Demo) Unit-1,Work Order Issued,2523690.11,2497242.99,0.0,0.0,0.0,2022-08-19,2022-10-08,2022-10-31,2022-11-28,2023-08-22,,17.426155,78.529997,False,,,,True
MPLAD-WRK-000004,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,MP-LOK-DEMO-009,Lok Sabha (Demo),Construction of Village Panchayat Sabha Bhawan and Citizen Service Centre at Tiruchirappalli East Sector-11,Community Infrastructure & Halls,AGY-SYNTH-0026,Tiruchirappalli State Sports Infrastructure Authority (Demo) Unit-1,Completed,2525467.59,2462525.26,2462525.26,2443444.49,100.0,2023-08-01,2023-09-22,2023-10-22,2023-11-01,2024-06-20,2024-06-16,10.786937,78.746403,False,,,,True
MPLAD-WRK-000005,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,MP-LOK-DEMO-009,Lok Sabha (Demo),Construction of Farmers Agro-Produce Storage and Community Shed at Lalgudi Sector-9,Community Infrastructure & Halls,AGY-SYNTH-0141,Tiruchirappalli Public Works Dept (Demo) Unit-1,Work Order Issued,1230471.0,1221094.66,183164.2,91582.1,0.0,2022-10-21,2022-12-19,2023-01-05,2023-02-04,2023-11-24,,10.845324,78.69421,False,,,,True
MPLAD-WRK-000006,Gujarat,Ahmedabad,Ahmedabad East Parliamentary Constituency,MP-LOK-DEMO-026,Lok Sabha (Demo),Setting up of Rooftop Solar Power Plant with Battery Backup for PHC at Ahmedabad City Sector-6,Renewable & Solar Energy,AGY-SYNTH-0121,Ahmedabad Water Supply & Sanitation Board (Demo) Unit-1,Work Order Issued,727917.27,704509.11,0.0,0.0,0.0,2023-02-07,2023-04-06,2023-05-16,2023-05-28,2023-08-07,,22.961985,72.607219,False,,,,True
MPLAD-WRK-000007,Kerala,Kozhikode,Kozhikode Parliamentary Constituency,MP-RAJ-DEMO-036,Rajya Sabha (Demo),Construction of Rainwater Harvesting Sump and Recharging Wells at Kozhikode City Sector-7,Irrigation & Flood Control,AGY-SYNTH-0057,Kozhikode Rural Development Agency (Demo) Unit-2,Completed,2926238.09,2978289.73,2978289.73,2908977.02,100.0,2023-12-31,2024-02-06,2024-02-22,2024-03-21,2024-12-20,2025-01-30,11.310606,75.760534,False,,,,True
MPLAD-WRK-000008,Karnataka,Belagavi,Belgaum Parliamentary Constituency,MP-LOK-DEMO-014,Lok Sabha (Demo),Deployment of Solar Powered LED Street Lights along Main Road connecting Bailhongal Sector-6 to Chikkodi Village-12,Renewable & Solar Energy,AGY-SYNTH-0144,Belagavi State Sports Infrastructure Authority (Demo) Unit-4,In Progress,470857.65,471098.6,310838.12,290960.65,66.9,2022-09-21,2022-10-09,2022-10-28,2022-11-12,2023-04-17,,15.836828,74.455035,False,,,,True
MPLAD-WRK-000009,West Bengal,Purba Medinipur,Tamluk Parliamentary Constituency,MP-LOK-DEMO-033,Lok Sabha (Demo),Construction of Check Dam and Water Harvesting Percolation Structure across Nullah at Egra Sector-14,Irrigation & Flood Control,AGY-SYNTH-0212,Purba Medinipur Public Works Dept (Demo) Unit-2,Completed,1510376.72,1467956.65,1467956.65,1424836.45,100.0,2024-08-27,2024-10-17,2024-11-21,2024-12-21,2025-09-10,2025-10-11,21.981798,87.796419,False,,,,True
MPLAD-WRK-000010,Tamil Nadu,Salem,Salem Parliamentary Constituency,MP-LOK-DEMO-010,Lok Sabha (Demo),Construction of Village Panchayat Sabha Bhawan and Citizen Service Centre at Salem South Sector-10,Community Infrastructure & Halls,AGY-SYNTH-0236,Salem Rural Development Agency (Demo) Unit-1,In Progress,2092748.28,1999149.55,1420669.7,1323408.18,63.1,2025-01-06,2025-02-19,2025-03-29,2025-04-26,2026-02-12,,11.599543,78.137331,False,,,,True
