update_id,work_id,update_date,physical_progress_pct,stage_name,expenditure_to_date,reported_by_designation,remarks,geo_tagged_photo_ref,synthetic_demo_data
UPD-DEMO-0000001,MPLAD-WRK-000001,2023-10-10,14.7,Planning & Mobilization,511102.43,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Planning & Mobilization' executed. Physical progress at 14.7%.,photos/synth_work_MPLAD-WRK-000001_stage_1.jpg,True
UPD-DEMO-0000002,MPLAD-WRK-000001,2023-11-14,28.9,Excavation & Foundation,1022204.86,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Excavation & Foundation' executed. Physical progress at 28.9%.,photos/synth_work_MPLAD-WRK-000001_stage_2.jpg,True
UPD-DEMO-0000003,MPLAD-WRK-000001,2023-12-16,44.8,Structural Construction,1533307.29,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Structural Construction' executed. Physical progress at 44.8%.,photos/synth_work_MPLAD-WRK-000001_stage_3.jpg,True
UPD-DEMO-0000004,MPLAD-WRK-000001,2024-01-26,57.9,Finishing & Installations,2044409.71,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Finishing & Installations' executed. Physical progress at 57.9%.,photos/synth_work_MPLAD-WRK-000001_stage_4.jpg,True
UPD-DEMO-0000005,MPLAD-WRK-000001,2024-02-27,70.3,Testing & Commissioning,2555512.14,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Testing & Commissioning' executed. Physical progress at 70.3%.,photos/synth_work_MPLAD-WRK-000001_stage_5.jpg,True
UPD-DEMO-0000006,MPLAD-WRK-000001,2024-03-29,80.3,Final Handover,3066614.57,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Final Handover' executed. Physical progress at 80.3%.,photos/synth_work_MPLAD-WRK-000001_stage_6.jpg,True
UPD-DEMO-0000007,MPLAD-WRK-000001,2024-05-05,100.0,Final Handover,3577717.0,Junior Engineer (Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000001_stage_7.jpg,True
UPD-DEMO-0000008,MPLAD-WRK-000002,2023-06-27,0.0,Planning & Mobilization,0.0,Junior Engineer (Ajmer State Sports Infrastructure Authority (Demo) Unit-2),Stage 'Planning & Mobilization' executed. Physical progress at 0.0%.,,True
UPD-DEMO-0000009,MPLAD-WRK-000003,2024-11-18,15.9,Planning & Mobilization,47715.84,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Planning & Mobilization' executed. Physical progress at 15.9%.,photos/synth_work_MPLAD-WRK-000003_stage_1.jpg,True
UPD-DEMO-0000010,MPLAD-WRK-000003,2024-12-23,32.8,Excavation & Foundation,95431.69,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Excavation & Foundation' executed. Physical progress at 32.8%.,photos/synth_work_MPLAD-WRK-000003_stage_2.jpg,True
UPD-DEMO-0000011,MPLAD-WRK-000003,2025-01-25,50.7,Structural Construction,143147.53,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Structural Construction' executed. Physical progress at 50.7%.,photos/synth_work_MPLAD-WRK-000003_stage_3.jpg,True
UPD-DEMO-0000012,MPLAD-WRK-000003,2025-03-04,66.0,Finishing & Installations,190863.37,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Finishing & Installations' executed. Physical progress at 66.0%.,photos/synth_work_MPLAD-WRK-000003_stage_4.jpg,True
UPD-DEMO-0000013,MPLAD-WRK-000003,2025-04-02,81.3,Testing & Commissioning,238579.22,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Testing & Commissioning' executed. Physical progress at 81.3%.,photos/synth_work_MPLAD-WRK-000003_stage_5.jpg,True
UPD-DEMO-0000014,MPLAD-WRK-000003,2025-05-12,100.0,Final Handover,286295.06,Junior Engineer (Udaipur Zilla Parishad Engineering Division (Demo) Unit-3),Stage 'Final Handover' executed. Physical progress at 100.0%.,photos/synth_work_MPLAD-WRK-000003_stage_6.jpg,True
UPD-DEMO-0000015,MPLAD-WRK-000004,2025-04-28,16.4,Planning & Mobilization,324384.3,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Planning & Mobilization' executed. Physical progress at 16.4%.,photos/synth_work_MPLAD-WRK-000004_stage_1.jpg,True
UPD-DEMO-0000016,MPLAD-WRK-000004,2025-06-08,31.0,Excavation & Foundation,648768.59,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Excavation & Foundation' executed. Physical progress at 31.0%.,photos/synth_work_MPLAD-WRK-000004_stage_2.jpg,True
UPD-DEMO-0000017,MPLAD-WRK-000004,2025-07-08,47.4,Structural Construction,973152.89,Junior Engineer (Jaipur Municipal Engineering Cell (Demo) Unit-1),Stage 'Structural Construction' executed. Physical progress at 47.4%.,photos/synth_work_MPLAD-WRK-000004_stage_3.jpg,True
