work_id,state,district,constituency,mp_reference,mp_house,work_title,category,agency_id,agency_name,status,estimate_amount,sanctioned_amount,cumulative_payments,expenditure,physical_progress_pct,recommendation_date,sanction_date,work_order_date,commencement_date,target_completion_date,actual_completion_date,latitude,longitude,latest_inspection_date,latest_inspection_rating,latest_inspector_designation,inspection_count,payment_count,progress_update_count,is_anomaly,anomaly_type,anomaly_description,duplicate_of_work_id,synthetic_demo_data
MPLAD-WRK-000001,Karnataka,Bengaluru Urban,Bengaluru South Parliamentary Constituency,MP-LOK-DEMO-011,Lok Sabha (Demo),Rehabilitation of Traditional Irrigation Tank and Sluice Gate System at Bengaluru North Sector-14,Irrigation & Flood Control,AGY-SYNTH-0059,Bengaluru Urban Irrigation & Flood Management Dept (Demo) Unit-4,Completed,3745036.56,3627164.96,3627164.96,3577717.0,100.0,2023-06-06,2023-07-27,2023-09-01,2023-09-30,2024-07-17,2024-09-15,12.933332,77.640702,2023-10-23,Satisfactory,Assistant Executive Engineer - Rural Works (Demo),1,5,7,False,,,,True
MPLAD-WRK-000002,Rajasthan,Ajmer,Ajmer Parliamentary Constituency,MP-LOK-DEMO-025,Lok Sabha (Demo),Setting up of 25 kW Decentralized Solar Mini-Grid for Village Electrification at Ajmer South Sector-14,Renewable & Solar Energy,AGY-SYNTH-0252,Ajmer State Sports Infrastructure Authority (Demo) Unit-2,Work Order Issued,625870.37,608277.18,0.0,0.0,0.0,2023-02-21,2023-04-08,2023-05-20,2023-06-13,2023-10-14,,26.388407,74.623886,,,,0,0,1,False,,,,True
MPLAD-WRK-000003,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,MP-LOK-DEMO-023,Lok Sabha (Demo),Installation of RO Clean Drinking Water Plant at Mavli Sector-8,Drinking Water,AGY-SYNTH-0253,Udaipur Zilla Parishad Engineering Division (Demo) Unit-3,Completed,288850.74,291537.65,291537.65,286295.06,100.0,2024-08-30,2024-09-22,2024-10-18,2024-11-08,2025-05-14,2025-04-29,24.593383,73.64853,2025-02-15,Excellent,Executive Engineer - PWD (Demo),2,4,6,False,,,,True
MPLAD-WRK-000004,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,MP-LOK-DEMO-021,Lok Sabha (Demo),"Desilting, Deepening and Concrete Lining of Agricultural Irrigation Canal from Chaksu Sector-10 to Phulera Village-10",Irrigation & Flood Control,AGY-SYNTH-0166,Jaipur Municipal Engineering Cell (Demo) Unit-1,Completed,1994435.46,1965540.18,1965540.18,1946305.78,100.0,2024-12-29,2025-02-27,2025-03-28,2025-04-22,2026-03-02,2026-02-20,26.956913,75.821099,2025-09-24,Excellent,Technical Auditor - State Quality Monitor (Demo),3,6,6,False,,,,True
MPLAD-WRK-000005,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,MP-LOK-DEMO-021,Lok Sabha (Demo),Upgradation of Pediatric & Maternal Care Ward at Community Health Centre in Jamwa Ramgarh Sector-6,Health & Sanitation,AGY-SYNTH-0166,Jaipur Municipal Engineering Cell (Demo) Unit-1,Completed,956790.22,925461.41,925461.41,906499.84,100.0,2023-12-03,2024-01-01,2024-01-30,2024-02-18,2024-10-15,2024-11-26,26.880568,75.798322,2024-03-16,Satisfactory,Independent Quality Assessor (Demo),1,5,6,False,,,,True
MPLAD-WRK-000006,Kerala,Thiruvananthapuram,Thiruvananthapuram Parliamentary Constituency,MP-LOK-DEMO-034,Lok Sabha (Demo),Reconstruction of Damaged All-Weather Village Connectivity Road at Neyyattinkara Sector-1,"Roads, Pathways & Bridges",AGY-SYNTH-0205,Thiruvananthapuram State Sports Infrastructure Authority (Demo) Unit-5,Recommended,2072459.48,0.0,0.0,0.0,0.0,2022-10-23,,,,,,8.472791,76.959534,,,,0,0,0,False,,,,True
MPLAD-WRK-000007,West Bengal,North 24 Parganas,Barasat Parliamentary Constituency,MP-LOK-DEMO-031,Lok Sabha (Demo),Construction of Indoor Gymnasium and Physical Training Centre at Barrackpore Sector-13,Sports & Youth Development,AGY-SYNTH-0222,North 24 Parganas Water Supply & Sanitation Board (Demo) Unit-2,Work Order Issued,769860.17,736188.22,0.0,0.0,0.0,2023-07-20,2023-09-07,2023-09-19,2023-10-04,2024-04-24,,22.782545,88.541976,,,,0,0,1,False,,,,True
MPLAD-WRK-000008,Maharashtra,Nashik,Nashik Parliamentary Constituency,MP-LOK-DEMO-003,Lok Sabha (Demo),Provision of Deep Borewell with Solar Submersible Pump in Niphad Sector-10,Drinking Water,AGY-SYNTH-0105,Nashik Irrigation & Flood Management Dept (Demo) Unit-5,Completed,229201.12,225030.68,225030.68,220512.18,100.0,2025-01-06,2025-01-29,2025-03-12,2025-04-05,2025-08-07,2025-08-01,20.03029,73.716913,2025-07-15,Satisfactory,Technical Auditor - State Quality Monitor (Demo),2,6,6,False,,,,True
MPLAD-WRK-000009,Uttar Pradesh,Prayagraj,Allahabad Parliamentary Constituency,MP-LOK-DEMO-020,Lok Sabha (Demo),Upgradation of Pediatric & Maternal Care Ward at Community Health Centre in Bara Sector-9,Health & Sanitation,AGY-SYNTH-0153,Prayagraj Rural Development Agency (Demo) Unit-3,In Progress,948408.55,963435.6,576448.27,517979.83,50.0,2024-04-22,2024-06-15,2024-07-09,2024-07-26,2025-01-09,,25.475079,81.873351,2024-08-29,Satisfactory,Technical Auditor - State Quality Monitor (Demo),1,5,4,False,,,,True
MPLAD-WRK-000010,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Parliamentary Constituency,MP-LOK-DEMO-009,Lok Sabha (Demo),Deployment of Solar Powered LED Street Lights along Main Road connecting Lalgudi Sector-1 to Lalgudi Village-15,Renewable & Solar Energy,AGY-SYNTH-0141,Tiruchirappalli Public Works Dept (Demo) Unit-1,Completed,440165.52,443019.59,443019.59,430330.93,100.0,2022-05-15,2022-06-24,2022-07-20,2022-07-30,2023-01-01,2022-12-21,10.796675,78.638738,2022-09-08,Good,District Planning Officer (Demo),1,5,4,False,,,,True
