asset_id,work_id,asset_name,category,location_description,latitude,longitude,handover_date,custodian_department,maintenance_status,synthetic_demo_data
AST-DEMO-000001,MPLAD-WRK-000001,Irrigation & Flood Control Asset - Construction of Rainwater Harvesting Sum,Irrigation & Flood Control,"Agra, Uttar Pradesh",27.122814,78.078075,2024-11-26,Agra Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000002,MPLAD-WRK-000004,Community Infrastructure & Halls Asset - Construction of Village Panchayat Sabha ,Community Infrastructure & Halls,"Tiruchirappalli, Tamil Nadu",10.786937,78.746403,2024-06-16,Tiruchirappalli Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000003,MPLAD-WRK-000007,Irrigation & Flood Control Asset - Construction of Rainwater Harvesting Sum,Irrigation & Flood Control,"Kozhikode, Kerala",11.310606,75.760534,2025-01-30,Kozhikode Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000004,MPLAD-WRK-000009,Irrigation & Flood Control Asset - Construction of Check Dam and Water Harv,Irrigation & Flood Control,"Purba Medinipur, West Bengal",21.981798,87.796419,2025-10-11,Purba Medinipur Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000005,MPLAD-WRK-000015,Sports & Youth Development Asset - Development of Playground with Fencing a,Sports & Youth Development,"North 24 Parganas, West Bengal",22.661229,88.528172,2025-05-06,North 24 Parganas Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000006,MPLAD-WRK-000016,Education Infrastructure Asset - Construction of Multi-Purpose Auditorium,Education Infrastructure,"Lucknow, Uttar Pradesh",26.815716,80.877771,2024-04-07,Lucknow Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000007,MPLAD-WRK-000017,Education Infrastructure Asset - Installation of Rooftop Solar Energy Sys,Education Infrastructure,"Krishna, Andhra Pradesh",16.198128,81.120541,2025-01-08,Krishna Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000008,MPLAD-WRK-000018,Sports & Youth Development Asset - Laying of Synthetic Volleyball and Badmi,Sports & Youth Development,"Warangal, Telangana",17.933167,79.558143,2025-02-25,Warangal Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000009,MPLAD-WRK-000022,Irrigation & Flood Control Asset - Rehabilitation of Traditional Irrigation,Irrigation & Flood Control,"Tiruchirappalli, Tamil Nadu",10.859903,78.765047,2025-08-10,Tiruchirappalli Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000010,MPLAD-WRK-000023,Renewable & Solar Energy Asset - Installation of High-Mast Solar Street L,Renewable & Solar Energy,"Nashik, Maharashtra",19.952359,73.791168,2024-04-22,Nashik Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000011,MPLAD-WRK-000025,Sports & Youth Development Asset - Development of Playground with Fencing a,Sports & Youth Development,"Mysuru, Karnataka",12.263968,76.650422,2024-11-26,Mysuru Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000012,MPLAD-WRK-000028,Drinking Water Asset - Provision of Deep Borewell with Solar Su,Drinking Water,"Nashik, Maharashtra",20.03029,73.716913,2025-08-01,Nashik Local Panchayat / Municipal Body (Demo),Operational,True
AST-DEMO-000013,MPLAD-WRK-000030,Renewable & Solar Energy Asset - Deployment of Solar Powered LED Street L,Renewable & Solar Energy,"Tiruchirappalli, Tamil Nadu",10.796675,78.638738,2022-12-21,Tiruchirappalli Local Panchayat / Municipal Body (Demo),Operational,True
