payment_id,work_id,installment_number,payment_date,amount,voucher_number,payee_agency_id,disbursement_mode,payment_status,synthetic_demo_data
PAY-DEMO-0000001,MPLAD-WRK-000001,1,2023-12-07,98715.34,VR-DEMO-2023-000001,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000002,MPLAD-WRK-000001,2,2024-01-20,105459.6,VR-DEMO-2024-000002,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000003,MPLAD-WRK-000001,3,2024-03-06,81125.42,VR-DEMO-2024-000003,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000004,MPLAD-WRK-000001,4,2024-04-11,79005.9,VR-DEMO-2024-000004,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000005,MPLAD-WRK-000001,5,2024-05-31,91239.14,VR-DEMO-2024-000005,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000006,MPLAD-WRK-000001,6,2024-07-19,99417.07,VR-DEMO-2024-000006,AGY-SYNTH-0256,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000007,MPLAD-WRK-000002,1,2025-02-22,136190.35,VR-DEMO-2025-000007,AGY-SYNTH-0029,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000008,MPLAD-WRK-000002,2,2025-04-11,113171.92,VR-DEMO-2025-000008,AGY-SYNTH-0029,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000009,MPLAD-WRK-000002,3,2025-05-29,120459.39,VR-DEMO-2025-000009,AGY-SYNTH-0029,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000010,MPLAD-WRK-000002,4,2025-07-10,149414.69,VR-DEMO-2025-000010,AGY-SYNTH-0029,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000011,MPLAD-WRK-000002,5,2025-08-16,138881.58,VR-DEMO-2025-000011,AGY-SYNTH-0029,PFMS_DEMO_TRANSFER,Disbursed,True
PAY-DEMO-0000012,MPLAD-WRK-000004,1,2023-10-19,724570.32,VR-DEMO-2023-000012,AGY-SYNTH-0026,PFMS_DEMO_TRANSFER,Disbursed,True
